%time,field.frameNumber,field.markerNumber,field.occluded,field.x_m,field.y_m,field.z_m
1690209926816649851,709371,8,0,0.1354726742680132,0.08349948253260871,0.07099971284131078
1690209926825869111,709372,0,0,0.07728831804311714,0.1792555652324513,0.4778094510726636
1690209926825882820,709372,1,0,0.19981189195063137,0.17770674748409596,0.47417977185428756
1690209926825893292,709372,2,0,0.19822414629102797,0.00537857519900983,0.4782712748252869
1690209926825903105,709372,3,0,0.07626254108515433,0.007042637075934764,0.4821284504252933
1690209926825921202,709372,4,0,0.1376421339634888,0.01245128583005817,0.4803307220793278
1690209926825932921,709372,5,0,0.1382238696431418,0.17128798569121872,0.4771901307094302
1690209926825944594,709372,6,0,0.12804013282285576,0.10330772262300689,0.11307031754881297
1690209926825960205,709372,7,0,0.12786750407099054,0.06679735707167575,0.11365353997494532
1690209926826004041,709372,8,0,0.13546667865528786,0.08350148094969029,0.07099845275611244
1690209926833553188,709373,0,0,0.07720845412749873,0.17923275545957454,0.4778054579018294
1690209926833570058,709373,1,0,0.19973292654585492,0.17771717674255802,0.47419211450934284
1690209926833587701,709373,2,0,0.19819121539727996,0.0053884458938407535,0.47827769240779566
1690209926833599180,709373,3,0,0.07622865007876461,0.007019413087385502,0.4821186111616049
1690209926833611883,709373,4,0,0.13760701859080973,0.012444712403360682,0.48032927145290716
1690209926833632673,709373,5,0,0.1381462394808735,0.17128166784360507,0.4771940233536976
1690209926833644046,709373,6,0,0.12802957530226217,0.10331073833212467,0.11307059806247381
1690209926833652837,709373,7,0,0.1278667375913625,0.06680030811767745,0.11365258707614137
1690209926833699658,709373,8,0,0.13546710117577174,0.0835079010156681,0.07099907036906648
1690209926841324249,709374,0,0,0.07712258295330135,0.17920976688211263,0.4778011621796776
1690209926841332857,709374,1,0,0.19964796857700606,0.17772670906625546,0.47420533292993305
1690209926841340517,709374,2,0,0.1981512986092009,0.005397484164650607,0.47828681792674227
1690209926841347441,709374,3,0,0.07618775691694273,0.006996074101208052,0.4821103056053479
1690209926841359915,709374,4,0,0.1375649424925853,0.01243766400653216,0.48032987852824877
1690209926841402416,709374,5,0,0.1380625582647946,0.17127482716811152,0.4771982765958303
1690209926841423337,709374,6,0,0.12801603890852672,0.1033094168650088,0.11307187896758092
1690209926841436001,709374,7,0,0.12786278445719035,0.0667989317278464,0.11365302430080695
1690209926841457997,709374,8,0,0.1354648328024086,0.08350949630350676,0.0710009719813632
1690209926848722251,709375,0,0,0.07703280805061516,0.17918966993168003,0.47779791399208116
