field.frameNumber,field.x_m,field.y_m,field.z_m
650183,0.601931661674168,0.319279858533724,6.55E-05
650184,0.601929443584938,0.319298984585326,6.55E-05
650185,0.601927847935959,0.319306640890235,6.55E-05
650186,0.601926976511398,0.319320430929382,6.55E-05
650187,0.601926160753312,0.319332228679436,6.55E-05
650188,0.601922434026456,0.319351004442459,6.55E-05
650189,0.601920882741039,0.319356792571365,6.55E-05
650190,0.601917642099039,0.319380889992556,6.55E-05
650191,0.601911619631199,0.319393256967299,6.55E-05
650192,0.60190445777511,0.319409287168921,6.55E-05
650193,0.601908421345281,0.31942688794868,6.55E-05
650194,0.601897833380185,0.319447114141352,6.55E-05
650195,0.601887790560522,0.319463546492716,6.55E-05
650196,0.601877240456976,0.319480278794947,6.55E-05
650197,0.601742020391815,0.319478135108837,6.55E-05
650198,0.601735990886533,0.319493445422698,6.55E-05
650199,0.60173330611579,0.319508167459928,6.55E-05
650200,0.601722132599676,0.319519960190528,6.55E-05
650201,0.601714576838159,0.319539058110313,6.56E-05
650202,0.60170908393199,0.319557837273351,6.56E-05
650203,0.60169762541627,0.319578384092669,6.56E-05
650204,0.601688715213092,0.319594167620688,6.56E-05
650205,0.601688648766859,0.319612849037111,6.56E-05
650206,0.601674488771302,0.319622757984181,6.56E-05
650207,0.601671031251027,0.319645188794233,6.56E-05
650208,0.601667276717698,0.319646893312053,6.56E-05
650209,0.601670698312448,0.319666551943547,6.56E-05
650210,0.601661291676577,0.319679217998764,6.56E-05
650211,0.601663915290092,0.319695385585469,6.56E-05
650212,0.601671605812168,0.319701386590588,6.56E-05
650213,0.601656537883936,0.319721092094829,6.56E-05
650214,0.601657647848414,0.319733523407487,6.56E-05
650215,0.601654512985042,0.319744389645743,6.56E-05
650216,0.601659444153985,0.319766152188204,6.56E-05
650217,0.601663741020249,0.319776607657329,6.56E-05
650218,0.601667044935928,0.319796002131905,6.56E-05
650219,0.601656844771922,0.319816170242091,6.56E-05
650220,0.601655603029064,0.319829840002843,6.56E-05
650221,0.601666346341127,0.319847411069687,6.57E-05
650222,0.601666485905146,0.319860710769097,6.57E-05
650223,0.601677693877531,0.319879201652588,6.57E-05
650224,0.601681591298724,0.319903821828075,6.57E-05
650225,0.601686525692055,0.319922745353322,6.57E-05
650226,0.601697114271008,0.319943020021726,6.57E-05
650227,0.601706852517593,0.319960854607211,6.57E-05
650228,0.601708097581427,0.319989332540321,6.57E-05
650229,0.601715054956011,0.319998370058976,6.57E-05
650230,0.601719020458291,0.320020095825545,6.57E-05
650231,0.601723034323343,0.320040460231022,6.57E-05
650232,0.601715849939724,0.32005416638933,6.57E-05
650233,0.601717496007522,0.320071817457218,6.57E-05
650234,0.601717607987268,0.320093749336124,6.57E-05
650235,0.601714235208887,0.320110924869686,6.57E-05
650236,0.601712841151181,0.32012856710582,6.57E-05
650237,0.601715529438945,0.320143070069032,6.57E-05
650238,0.601712086574167,0.320162581653258,6.57E-05
650239,0.6017137583394,0.32018159838136,6.58E-05
650240,0.601704321943994,0.3201944892795,6.58E-05
